,4b. close (USD),5. volume,6. market cap (USD)
2022-04-14,424.60000000,10419.42200000,10419.42200000
2022-04-13,423.40000000,630077.27700000,630077.27700000
2022-04-12,413.60000000,729790.91800000,729790.91800000
2022-04-11,394.60000000,856354.22400000,856354.22400000
2022-04-10,418.10000000,386650.88300000,386650.88300000
2022-04-09,426.60000000,356426.65900000,356426.65900000
2022-04-08,421.50000000,684600.07400000,684600.07400000
2022-04-07,436.00000000,717661.03600000,717661.03600000
2022-04-06,420.10000000,928930.80600000,928930.80600000
2022-04-05,444.70000000,761168.72500000,761168.72500000
2022-04-04,447.60000000,736637.27100000,736637.27100000
2022-04-03,450.40000000,676230.89200000,676230.89200000
2022-04-02,437.20000000,827864.88500000,827864.88500000
2022-04-01,447.70000000,971822.65500000,971822.65500000
2022-03-31,428.90000000,957924.69500000,957924.69500000
2022-03-30,442.10000000,768982.42700000,768982.42700000
2022-03-29,434.20000000,629773.89400000,629773.89400000
2022-03-28,430.20000000,719102.18300000,719102.18300000
2022-03-27,430.50000000,490998.10000000,490998.10000000
2022-03-26,415.80000000,280157.68700000,280157.68700000
2022-03-25,410.30000000,609691.87600000,609691.87600000
2022-03-24,414.20000000,598366.11500000,598366.11500000
2022-03-23,408.40000000,535891.79000000,535891.79000000
2022-03-22,404.30000000,609034.60700000,609034.60700000
2022-03-21,396.00000000,541479.78000000,541479.78000000
2022-03-20,390.80000000,398984.42900000,398984.42900000
2022-03-19,399.90000000,459996.61300000,459996.61300000
2022-03-18,397.20000000,553763.58600000,553763.58600000
2022-03-17,391.80000000,569457.40800000,569457.40800000
2022-03-16,385.40000000,668878.61500000,668878.61500000
2022-03-15,371.70000000,440890.82300000,440890.82300000
2022-03-14,373.40000000,467814.98400000,467814.98400000
2022-03-13,361.40000000,424762.64200000,424762.64200000
2022-03-12,372.40000000,402475.64600000,402475.64600000
2022-03-11,371.90000000,510174.58600000,510174.58600000
2022-03-10,372.00000000,791241.37600000,791241.37600000
2022-03-09,393.20000000,1012850.74700000,1012850.74700000
2022-03-08,381.40000000,646909.82100000,646909.82100000
2022-03-07,380.60000000,948766.85700000,948766.85700000
2022-03-06,375.00000000,489079.15800000,489079.15800000
2022-03-05,384.70000000,453970.24200000,453970.24200000
2022-03-04,374.20000000,756176.61000000,756176.61000000
2022-03-03,402.60000000,577002.32500000,577002.32500000
2022-03-02,409.30000000,788499.44300000,788499.44300000
2022-03-01,408.70000000,1403695.83200000,1403695.83200000
2022-02-28,395.60000000,773064.48000000,773064.48000000
2022-02-27,360.10000000,677364.94900000,677364.94900000
2022-02-26,373.70000000,548687.94100000,548687.94100000
2022-02-25,375.00000000,783242.16000000,783242.16000000
2022-02-24,361.20000000,1949035.93500000,1949035.93500000
2022-02-23,365.60000000,698692.66100000,698692.66100000
2022-02-22,374.30000000,940456.82200000,940456.82200000
2022-02-21,356.60000000,1219652.48100000,1219652.48100000
