,4b. close (USD),5. volume,6. market cap (USD)
2022-04-14,3124.39000000,9858.94660000,9858.94660000
2022-04-13,3118.28000000,419101.49400000,419101.49400000
2022-04-12,3027.66000000,579522.95050000,579522.95050000
2022-04-11,2979.74000000,693394.29120000,693394.29120000
2022-04-10,3203.04000000,232303.23260000,232303.23260000
2022-04-09,3258.57000000,212444.25660000,212444.25660000
2022-04-08,3192.39000000,502422.50480000,502422.50480000
2022-04-07,3227.19000000,458179.32720000,458179.32720000
2022-04-06,3168.51000000,736273.10470000,736273.10470000
2022-04-05,3406.99000000,397782.74370000,397782.74370000
2022-04-04,3519.50000000,449984.15860000,449984.15860000
2022-04-03,3521.91000000,381581.76830000,381581.76830000
2022-04-02,3443.77000000,499893.29000000,499893.29000000
2022-04-01,3455.21000000,532169.23920000,532169.23920000
2022-03-31,3281.51000000,455091.23950000,455091.23950000
2022-03-30,3385.79000000,356082.52310000,356082.52310000
2022-03-29,3400.51000000,465899.82260000,465899.82260000
2022-03-28,3332.92000000,527237.11330000,527237.11330000
2022-03-27,3295.65000000,335467.41450000,335467.41450000
2022-03-26,3145.00000000,207134.84700000,207134.84700000
2022-03-25,3102.14000000,489099.55720000,489099.55720000
2022-03-24,3110.76000000,577171.52390000,577171.52390000
2022-03-23,3036.00000000,453962.72980000,453962.72980000
2022-03-22,2969.64000000,564868.98390000,564868.98390000
2022-03-21,2890.03000000,450223.90730000,450223.90730000
2022-03-20,2861.38000000,377608.82140000,377608.82140000
2022-03-19,2950.84000000,325971.53980000,325971.53980000
2022-03-18,2938.92000000,556535.79660000,556535.79660000
2022-03-17,2811.92000000,379312.54100000,379312.54100000
2022-03-16,2773.81000000,666224.72170000,666224.72170000
2022-03-15,2617.73000000,461202.30140000,461202.30140000
2022-03-14,2589.41000000,386630.19120000,386630.19120000
2022-03-13,2515.65000000,316942.16010000,316942.16010000
2022-03-12,2568.80000000,219236.57110000,219236.57110000
2022-03-11,2556.86000000,494583.65680000,494583.65680000
2022-03-10,2606.70000000,559004.76750000,559004.76750000
2022-03-09,2726.98000000,562771.74030000,562771.74030000
2022-03-08,2575.97000000,560719.30740000,560719.30740000
2022-03-07,2491.12000000,619728.84890000,619728.84890000
2022-03-06,2551.29000000,336487.90990000,336487.90990000
2022-03-05,2665.15000000,268730.30360000,268730.30360000
2022-03-04,2622.10000000,556178.75880000,556178.75880000
2022-03-03,2833.99000000,446192.23530000,446192.23530000
2022-03-02,2947.30000000,614623.74610000,614623.74610000
2022-03-01,2976.33000000,673901.69760000,673901.69760000
2022-02-28,2920.95000000,733794.44880000,733794.44880000
2022-02-27,2616.79000000,650198.77850000,650198.77850000
2022-02-26,2779.47000000,418485.25290000,418485.25290000
2022-02-25,2768.49000000,679394.17620000,679394.17620000
2022-02-24,2596.20000000,1395732.77530000,1395732.77530000
2022-02-23,2579.71000000,504470.14120000,504470.14120000
2022-02-22,2636.29000000,692639.49420000,692639.49420000
2022-02-21,2568.02000000,761838.98580000,761838.98580000
2022-02-20,2621.99000000,386384.90400000,386384.90400000
2022-02-19,2763.63000000,293838.00250000,293838.00250000
