,4b. close (USD),5. volume,6. market cap (USD)
2022-04-14,105.40000000,35859.30000000,35859.30000000
2022-04-13,104.94000000,2204306.40000000,2204306.40000000
2022-04-12,103.22000000,3527634.19000000,3527634.19000000
2022-04-11,99.67000000,3332133.13000000,3332133.13000000
2022-04-10,111.07000000,1560720.04000000,1560720.04000000
2022-04-09,112.96000000,1376896.77000000,1376896.77000000
2022-04-08,109.92000000,3328966.49000000,3328966.49000000
2022-04-07,118.48000000,3326346.75000000,3326346.75000000
2022-04-06,112.95000000,4266870.20000000,4266870.20000000
2022-04-05,126.87000000,2833885.54000000,2833885.54000000
2022-04-04,132.14000000,3456901.43000000,3456901.43000000
2022-04-03,136.90000000,2964507.05000000,2964507.05000000
2022-04-02,132.49000000,4193984.20000000,4193984.20000000
2022-04-01,134.52000000,5505077.63000000,5505077.63000000
2022-03-31,122.77000000,5143974.90000000,5143974.90000000
2022-03-30,120.82000000,5250424.16000000,5250424.16000000
2022-03-29,111.62000000,3727259.92000000,3727259.92000000
2022-03-28,105.75000000,4146023.22000000,4146023.22000000
2022-03-27,107.04000000,2351080.64000000,2351080.64000000
2022-03-26,101.73000000,1906343.44000000,1906343.44000000
2022-03-25,98.60000000,3360440.57000000,3360440.57000000
2022-03-24,102.32000000,4777008.51000000,4777008.51000000
2022-03-23,94.89000000,2854825.20000000,2854825.20000000
2022-03-22,90.43000000,2611345.56000000,2611345.56000000
2022-03-21,88.59000000,1985082.57000000,1985082.57000000
2022-03-20,88.62000000,1500458.29000000,1500458.29000000
2022-03-19,92.31000000,2058348.96000000,2058348.96000000
2022-03-18,89.80000000,2935949.01000000,2935949.01000000
2022-03-17,87.80000000,2616451.80000000,2616451.80000000
2022-03-16,87.77000000,2638790.33000000,2638790.33000000
2022-03-15,82.84000000,2123603.37000000,2123603.37000000
2022-03-14,81.22000000,2079919.39000000,2079919.39000000
2022-03-13,78.73000000,2009434.97000000,2009434.97000000
2022-03-12,81.38000000,1362268.13000000,1362268.13000000
2022-03-11,80.67000000,2528334.85000000,2528334.85000000
2022-03-10,82.87000000,2828339.70000000,2828339.70000000
2022-03-09,88.06000000,3355218.73000000,3355218.73000000
2022-03-08,82.32000000,2603816.31000000,2603816.31000000
2022-03-07,81.66000000,3228273.76000000,3228273.76000000
2022-03-06,84.57000000,1828270.57000000,1828270.57000000
2022-03-05,89.63000000,1495553.50000000,1495553.50000000
2022-03-04,88.32000000,2854970.19000000,2854970.19000000
2022-03-03,95.62000000,2595560.67000000,2595560.67000000
2022-03-02,100.68000000,4306326.64000000,4306326.64000000
2022-03-01,98.66000000,3665336.76000000,3665336.76000000
2022-02-28,99.68000000,4212075.57000000,4212075.57000000
2022-02-27,85.63000000,2593533.97000000,2593533.97000000
2022-02-26,90.23000000,2279602.17000000,2279602.17000000
2022-02-25,92.71000000,3691896.58000000,3691896.58000000
2022-02-24,89.36000000,7497540.08000000,7497540.08000000
2022-02-23,84.59000000,3193694.10000000,3193694.10000000
2022-02-22,86.38000000,2835554.36000000,2835554.36000000
2022-02-21,82.96000000,4063082.80000000,4063082.80000000
2022-02-20,90.72000000,2559473.54000000,2559473.54000000
2022-02-19,91.27000000,1285578.14000000,1285578.14000000
