date,value
2022-03-01,1.91
2022-02-01,1.44
2022-01-01,0.98
2021-12-01,0.68
2021-11-01,0.51
2021-10-01,0.39
2021-09-01,0.24
2021-08-01,0.22
2021-07-01,0.22
2021-06-01,0.20
2021-05-01,0.16
2021-04-01,0.16
2021-03-01,0.15
2021-02-01,0.12
2021-01-01,0.13
2020-12-01,0.14
2020-11-01,0.17
2020-10-01,0.15
2020-09-01,0.13
2020-08-01,0.14
2020-07-01,0.15
2020-06-01,0.19
2020-05-01,0.17
2020-04-01,0.22
2020-03-01,0.45
2020-02-01,1.33
2020-01-01,1.52
2019-12-01,1.61
2019-11-01,1.61
2019-10-01,1.55
2019-09-01,1.65
2019-08-01,1.57
2019-07-01,1.84
2019-06-01,1.81
2019-05-01,2.21
2019-04-01,2.34
2019-03-01,2.41
2019-02-01,2.50
2019-01-01,2.54
2018-12-01,2.68
2018-11-01,2.86
2018-10-01,2.86
2018-09-01,2.77
2018-08-01,2.64
2018-07-01,2.61
2018-06-01,2.53
2018-05-01,2.51
2018-04-01,2.38
2018-03-01,2.28
2018-02-01,2.18
2018-01-01,2.03
2017-12-01,1.84
2017-11-01,1.70
2017-10-01,1.55
2017-09-01,1.38
2017-08-01,1.34
2017-07-01,1.37
2017-06-01,1.34
2017-05-01,1.30
2017-04-01,1.24
2017-03-01,1.31
2017-02-01,1.20
2017-01-01,1.21
2016-12-01,1.20
2016-11-01,0.98
2016-10-01,0.84
2016-09-01,0.77
2016-08-01,0.74
2016-07-01,0.67
2016-06-01,0.73
2016-05-01,0.82
2016-04-01,0.77
2016-03-01,0.88
2016-02-01,0.73
2016-01-01,0.90
2015-12-01,0.98
2015-11-01,0.88
2015-10-01,0.64
2015-09-01,0.71
2015-08-01,0.70
2015-07-01,0.67
2015-06-01,0.69
2015-05-01,0.61
2015-04-01,0.54
2015-03-01,0.64
2015-02-01,0.62
2015-01-01,0.55
2014-12-01,0.64
2014-11-01,0.53
2014-10-01,0.45
2014-09-01,0.57
2014-08-01,0.47
2014-07-01,0.51
2014-06-01,0.45
2014-05-01,0.39
2014-04-01,0.42
2014-03-01,0.40
2014-02-01,0.33
2014-01-01,0.39
2013-12-01,0.34
2013-11-01,0.30
2013-10-01,0.34
2013-09-01,0.40
2013-08-01,0.36
2013-07-01,0.34
2013-06-01,0.33
2013-05-01,0.25
2013-04-01,0.23
2013-03-01,0.26
2013-02-01,0.27
2013-01-01,0.27
2012-12-01,0.26
2012-11-01,0.27
2012-10-01,0.28
2012-09-01,0.26
2012-08-01,0.27
2012-07-01,0.25
2012-06-01,0.29
2012-05-01,0.29
2012-04-01,0.29
2012-03-01,0.34
2012-02-01,0.28
2012-01-01,0.24
2011-12-01,0.26
2011-11-01,0.25
2011-10-01,0.28
2011-09-01,0.21
