,4b. close (USD),5. volume,6. market cap (USD)
2022-04-14,0.72560000,3910414.00000000,3910414.00000000
2022-04-13,0.72320000,217937566.00000000,217937566.00000000
2022-04-12,0.71520000,263088987.00000000,263088987.00000000
2022-04-11,0.69480000,354459252.00000000,354459252.00000000
2022-04-10,0.75430000,123028708.00000000,123028708.00000000
2022-04-09,0.76220000,102131244.00000000,102131244.00000000
2022-04-08,0.75490000,210639194.00000000,210639194.00000000
2022-04-07,0.78710000,196211648.00000000,196211648.00000000
2022-04-06,0.75950000,348686323.00000000,348686323.00000000
2022-04-05,0.81640000,174779509.00000000,174779509.00000000
2022-04-04,0.82600000,216740017.00000000,216740017.00000000
2022-04-03,0.84320000,159520162.00000000,159520162.00000000
2022-04-02,0.82400000,210041825.00000000,210041825.00000000
2022-04-01,0.82770000,254001232.00000000,254001232.00000000
2022-03-31,0.81480000,366939277.00000000,366939277.00000000
2022-03-30,0.86130000,201046259.00000000,201046259.00000000
2022-03-29,0.85770000,264756291.00000000,264756291.00000000
2022-03-28,0.86410000,479199201.00000000,479199201.00000000
2022-03-27,0.85800000,198619688.00000000,198619688.00000000
2022-03-26,0.83270000,122433652.00000000,122433652.00000000
2022-03-25,0.82390000,214450998.00000000,214450998.00000000
2022-03-24,0.84280000,282122073.00000000,282122073.00000000
2022-03-23,0.83760000,235024475.00000000,235024475.00000000
2022-03-22,0.83660000,305184306.00000000,305184306.00000000
2022-03-21,0.83730000,316427663.00000000,316427663.00000000
2022-03-20,0.80570000,185090508.00000000,185090508.00000000
2022-03-19,0.81940000,248947590.00000000,248947590.00000000
2022-03-18,0.79650000,222661984.00000000,222661984.00000000
2022-03-17,0.79350000,264101320.00000000,264101320.00000000
2022-03-16,0.79190000,350641035.00000000,350641035.00000000
2022-03-15,0.76570000,243756136.00000000,243756136.00000000
2022-03-14,0.77480000,326606464.00000000,326606464.00000000
2022-03-13,0.76020000,311279578.00000000,311279578.00000000
2022-03-12,0.78570000,589059126.00000000,589059126.00000000
2022-03-11,0.80290000,526984782.00000000,526984782.00000000
2022-03-10,0.73610000,397777399.00000000,397777399.00000000
2022-03-09,0.76580000,397032109.00000000,397032109.00000000
2022-03-08,0.72070000,293421937.00000000,293421937.00000000
2022-03-07,0.71970000,496135240.00000000,496135240.00000000
2022-03-06,0.72510000,304732286.00000000,304732286.00000000
2022-03-05,0.75400000,358200609.00000000,358200609.00000000
2022-03-04,0.71270000,382831997.00000000,382831997.00000000
2022-03-03,0.75150000,339295156.00000000,339295156.00000000
2022-03-02,0.76870000,377602100.00000000,377602100.00000000
2022-03-01,0.78390000,392126769.00000000,392126769.00000000
2022-02-28,0.78090000,444617964.00000000,444617964.00000000
2022-02-27,0.72150000,441252224.00000000,441252224.00000000
2022-02-26,0.75080000,520451349.00000000,520451349.00000000
2022-02-25,0.76990000,557343038.00000000,557343038.00000000
2022-02-24,0.69630000,986343826.00000000,986343826.00000000
2022-02-23,0.69670000,438023003.00000000,438023003.00000000
2022-02-22,0.72090000,597541290.00000000,597541290.00000000
