date,%-close,value,Target
2015-04,,,
2015-05,AAPL-close,28.3992,
2015-06,AAPL-close,29.686,1.0
2015-07,AAPL-close,28.5798,0.0
2015-08,AAPL-close,27.6398,0.0
2015-09,AAPL-close,25.8099,0.0
2015-10,AAPL-close,25.1667,0.0
2015-11,AAPL-close,27.3527,1.0
2015-12,AAPL-close,27.1944,0.0
2016-01,AAPL-close,24.1968,0.0
2016-02,AAPL-close,22.3762,0.0
2016-03,AAPL-close,22.3464,0.0
2016-04,AAPL-close,25.1891,1.0
2016-05,AAPL-close,21.6646,0.0
2016-06,AAPL-close,23.2202,1.0
2016-07,AAPL-close,22.2296,0.0
2016-08,AAPL-close,24.2317,1.0
2016-09,AAPL-close,24.804,1.0
2016-10,AAPL-close,26.4287,1.0
2016-11,AAPL-close,26.5433,1.0
2016-12,AAPL-close,25.9713,0.0
2017-01,AAPL-close,27.2168,1.0
2017-02,AAPL-close,28.5163,1.0
2017-03,AAPL-close,32.3302,1.0
2017-04,AAPL-close,33.9043,1.0
2017-05,AAPL-close,33.9019,0.0
2017-06,AAPL-close,36.1995,1.0
2017-07,AAPL-close,34.1284,0.0
2017-08,AAPL-close,35.2445,1.0
2017-09,AAPL-close,39.0206,1.0
2017-10,AAPL-close,36.6699,0.0
2017-11,AAPL-close,40.2198,1.0
2017-12,AAPL-close,41.0359,1.0
2018-01,AAPL-close,40.4103,0.0
2018-02,AAPL-close,39.9804,0.0
2018-03,AAPL-close,42.7044,1.0
2018-04,AAPL-close,40.2254,0.0
2018-05,AAPL-close,39.6212,0.0
2018-06,AAPL-close,44.9756,1.0
2018-07,AAPL-close,44.5521,0.0
2018-08,AAPL-close,45.7988,1.0
2018-09,AAPL-close,54.9784,1.0
2018-10,AAPL-close,54.5219,0.0
2018-11,AAPL-close,52.8603,0.0
2018-12,AAPL-close,43.2826,0.0
2019-01,AAPL-close,38.2316,0.0
2019-02,AAPL-close,40.3402,1.0
2019-03,AAPL-close,42.1463,1.0
2019-04,AAPL-close,46.2356,1.0
2019-05,AAPL-close,48.845,1.0
2019-06,AAPL-close,42.7801,0.0
2019-07,AAPL-close,48.3637,1.0
2019-08,AAPL-close,52.0584,1.0
2019-09,AAPL-close,51.2031,0.0
2019-10,AAPL-close,54.939,1.0
2019-11,AAPL-close,61.0198,1.0
2019-12,AAPL-close,65.7499,1.0
2020-01,AAPL-close,72.245,1.0
2020-02,AAPL-close,76.1469,1.0
2020-03,AAPL-close,67.415,0.0
2020-04,AAPL-close,62.712,0.0
2020-05,AAPL-close,72.4558,1.0
2020-06,AAPL-close,78.6164,1.0
2020-07,AAPL-close,90.2034,1.0
2020-08,AAPL-close,105.0988,1.0
2020-09,AAPL-close,127.8654,1.0
2020-10,AAPL-close,114.7558,0.0
2020-11,AAPL-close,107.8691,0.0
2020-12,AAPL-close,118.1701,1.0
2021-01,AAPL-close,131.7092,1.0
2021-02,AAPL-close,130.9846,0.0
2021-03,AAPL-close,120.5441,0.0
2021-04,AAPL-close,121.4289,1.0
2021-05,AAPL-close,130.6839,1.0
2021-06,AAPL-close,124.0837,0.0
2021-07,AAPL-close,136.3815,1.0
2021-08,AAPL-close,145.2439,1.0
2021-09,AAPL-close,151.4163,1.0
2021-10,AAPL-close,141.1144,0.0
2021-11,AAPL-close,149.3918,1.0
2021-12,AAPL-close,165.0893,1.0
2022-01,AAPL-close,177.3437,1.0
2022-02,AAPL-close,174.5572,0.0
2022-03,AAPL-close,165.12,0.0
2022-04,AAPL-close,174.61,1.0
2015-04,AAPL-close,165.07,0.0
2015-05,GOOGL-close,548.77,1.0
2015-06,GOOGL-close,545.32,0.0
2015-07,GOOGL-close,540.04,0.0
2015-08,GOOGL-close,657.5,1.0
2015-09,GOOGL-close,647.82,0.0
2015-10,GOOGL-close,638.37,0.0
2015-11,GOOGL-close,737.39,1.0
