,date,%-close_x,value,string-date_x,combined,Date,%-close_y,EPS,string-date_y
0,2015-04-30,AAPL-close,28.3992,2015-04-30,2015-04-30_AAPL-close,2015-04-30,AAPL-close,2.91,2015-04-30
1,2015-05-29,AAPL-close,29.686,2015-05-29,2015-05-29_AAPL-close,2015-05-29,AAPL-close,2.91,2015-05-29
2,2015-06-30,AAPL-close,28.5798,2015-06-30,2015-06-30_AAPL-close,2015-06-30,AAPL-close,3.84,2015-06-30
3,2015-07-31,AAPL-close,27.6398,2015-07-31,2015-07-31_AAPL-close,2015-07-31,AAPL-close,3.84,2015-07-31
4,2015-08-31,AAPL-close,25.8099,2015-08-31,2015-08-31_AAPL-close,2015-08-31,AAPL-close,3.84,2015-08-31
5,2015-09-30,AAPL-close,25.1667,2015-09-30,2015-09-30_AAPL-close,2015-09-30,AAPL-close,3.34,2015-09-30
6,2015-10-30,AAPL-close,27.3527,2015-10-30,2015-10-30_AAPL-close,2015-10-30,AAPL-close,3.34,2015-10-30
7,2015-11-30,AAPL-close,27.1944,2015-11-30,2015-11-30_AAPL-close,2015-11-30,AAPL-close,3.34,2015-11-30
8,2015-12-31,AAPL-close,24.1968,2015-12-31,2015-12-31_AAPL-close,2015-12-31,AAPL-close,4.84,2015-12-31
9,2016-01-29,AAPL-close,22.3762,2016-01-29,2016-01-29_AAPL-close,2016-01-29,AAPL-close,4.84,2016-01-29
10,2016-02-29,AAPL-close,22.3464,2016-02-29,2016-02-29_AAPL-close,2016-02-29,AAPL-close,4.84,2016-02-29
11,2016-03-31,AAPL-close,25.1891,2016-03-31,2016-03-31_AAPL-close,2016-03-31,AAPL-close,2.35,2016-03-31
12,2016-04-29,AAPL-close,21.6646,2016-04-29,2016-04-29_AAPL-close,2016-04-29,AAPL-close,2.35,2016-04-29
13,2016-05-31,AAPL-close,23.2202,2016-05-31,2016-05-31_AAPL-close,2016-05-31,AAPL-close,2.35,2016-05-31
14,2016-06-30,AAPL-close,22.2296,2016-06-30,2016-06-30_AAPL-close,2016-06-30,AAPL-close,2.95,2016-06-30
15,2016-07-29,AAPL-close,24.2317,2016-07-29,2016-07-29_AAPL-close,2016-07-29,AAPL-close,2.95,2016-07-29
16,2016-08-31,AAPL-close,24.804,2016-08-31,2016-08-31_AAPL-close,2016-08-31,AAPL-close,2.95,2016-08-31
17,2016-09-30,AAPL-close,26.4287,2016-09-30,2016-09-30_AAPL-close,2016-09-30,AAPL-close,3.29,2016-09-30
18,2016-10-31,AAPL-close,26.5433,2016-10-31,2016-10-31_AAPL-close,2016-10-31,AAPL-close,3.29,2016-10-31
19,2016-11-30,AAPL-close,25.9713,2016-11-30,2016-11-30_AAPL-close,2016-11-30,AAPL-close,3.29,2016-11-30
20,2016-12-30,AAPL-close,27.2168,2016-12-30,2016-12-30_AAPL-close,2016-12-30,AAPL-close,3.29,2016-12-30
21,2017-01-31,AAPL-close,28.5163,2017-01-31,2017-01-31_AAPL-close,2017-01-31,AAPL-close,5.01,2017-01-31
22,2017-02-28,AAPL-close,32.3302,2017-02-28,2017-02-28_AAPL-close,2017-02-28,AAPL-close,5.01,2017-02-28
23,2017-03-31,AAPL-close,33.9043,2017-03-31,2017-03-31_AAPL-close,2017-03-31,AAPL-close,2.38,2017-03-31
24,2017-04-28,AAPL-close,33.9019,2017-04-28,2017-04-28_AAPL-close,2017-04-28,AAPL-close,2.38,2017-04-28
25,2017-05-31,AAPL-close,36.1995,2017-05-31,2017-05-31_AAPL-close,2017-05-31,AAPL-close,2.38,2017-05-31
26,2017-06-30,AAPL-close,34.1284,2017-06-30,2017-06-30_AAPL-close,2017-06-30,AAPL-close,2.97,2017-06-30
27,2017-07-31,AAPL-close,35.2445,2017-07-31,2017-07-31_AAPL-close,2017-07-31,AAPL-close,2.97,2017-07-31
28,2017-08-31,AAPL-close,39.0206,2017-08-31,2017-08-31_AAPL-close,2017-08-31,AAPL-close,2.97,2017-08-31
29,2017-09-29,AAPL-close,36.6699,2017-09-29,2017-09-29_AAPL-close,2017-09-29,AAPL-close,2.97,2017-09-29
30,2017-10-31,AAPL-close,40.2198,2017-10-31,2017-10-31_AAPL-close,2017-10-31,AAPL-close,3.3,2017-10-31
31,2017-11-30,AAPL-close,41.0359,2017-11-30,2017-11-30_AAPL-close,2017-11-30,AAPL-close,3.3,2017-11-30
32,2017-12-29,AAPL-close,40.4103,2017-12-29,2017-12-29_AAPL-close,2017-12-29,AAPL-close,3.3,2017-12-29
33,2018-01-31,AAPL-close,39.9804,2018-01-31,2018-01-31_AAPL-close,2018-01-31,AAPL-close,5.18,2018-01-31
34,2018-02-28,AAPL-close,42.7044,2018-02-28,2018-02-28_AAPL-close,2018-02-28,AAPL-close,5.18,2018-02-28
35,2018-03-29,AAPL-close,40.2254,2018-03-29,2018-03-29_AAPL-close,,,,
36,2018-04-30,AAPL-close,39.6212,2018-04-30,2018-04-30_AAPL-close,2018-04-30,AAPL-close,2.45,2018-04-30
37,2018-05-31,AAPL-close,44.9756,2018-05-31,2018-05-31_AAPL-close,2018-05-31,AAPL-close,2.45,2018-05-31
38,2018-06-29,AAPL-close,44.5521,2018-06-29,2018-06-29_AAPL-close,2018-06-29,AAPL-close,2.45,2018-06-29
39,2018-07-31,AAPL-close,45.7988,2018-07-31,2018-07-31_AAPL-close,2018-07-31,AAPL-close,3.08,2018-07-31
40,2018-08-31,AAPL-close,54.9784,2018-08-31,2018-08-31_AAPL-close,2018-08-31,AAPL-close,3.08,2018-08-31
41,2018-09-28,AAPL-close,54.5219,2018-09-28,2018-09-28_AAPL-close,2018-09-28,AAPL-close,3.08,2018-09-28
