,date,%-close,value
0,1999-12-31,AAPL-close,0.7859
1,2000-01-31,AAPL-close,0.7931
2,2000-02-29,AAPL-close,0.8762
3,2000-03-31,AAPL-close,1.0382
4,2000-04-28,AAPL-close,0.9484
5,2000-05-31,AAPL-close,0.6421
6,2000-06-30,AAPL-close,0.8008
7,2000-07-31,AAPL-close,0.7768
8,2000-08-31,AAPL-close,0.9317
9,2000-09-29,AAPL-close,0.3937
10,2000-10-31,AAPL-close,0.299
11,2000-11-30,AAPL-close,0.2523
12,2000-12-29,AAPL-close,0.2275
13,2001-01-31,AAPL-close,0.3305
14,2001-02-28,AAPL-close,0.279
15,2001-03-30,AAPL-close,0.3374
16,2001-04-30,AAPL-close,0.3897
17,2001-05-31,AAPL-close,0.305
18,2001-06-29,AAPL-close,0.3555
19,2001-07-31,AAPL-close,0.2873
20,2001-08-31,AAPL-close,0.2836
21,2001-09-28,AAPL-close,0.2371
22,2001-10-31,AAPL-close,0.2685
23,2001-11-30,AAPL-close,0.3256
24,2001-12-31,AAPL-close,0.3348
25,2002-01-31,AAPL-close,0.3779
26,2002-02-28,AAPL-close,0.3318
27,2002-03-28,AAPL-close,0.3619
28,2002-04-30,AAPL-close,0.3711
29,2002-05-31,AAPL-close,0.3562
30,2002-06-28,AAPL-close,0.2709
31,2002-07-31,AAPL-close,0.2333
32,2002-08-30,AAPL-close,0.2255
33,2002-09-30,AAPL-close,0.2217
34,2002-10-31,AAPL-close,0.2457
35,2002-11-29,AAPL-close,0.237
36,2002-12-31,AAPL-close,0.2191
37,2003-01-31,AAPL-close,0.2195
38,2003-02-28,AAPL-close,0.2295
39,2003-03-31,AAPL-close,0.2162
40,2003-04-30,AAPL-close,0.2174
41,2003-05-30,AAPL-close,0.2744
42,2003-06-30,AAPL-close,0.2914
43,2003-07-31,AAPL-close,0.3223
44,2003-08-29,AAPL-close,0.3457
45,2003-09-30,AAPL-close,0.3168
46,2003-10-31,AAPL-close,0.35
47,2003-11-28,AAPL-close,0.3197
48,2003-12-31,AAPL-close,0.3267
49,2004-01-30,AAPL-close,0.3449
50,2004-02-27,AAPL-close,0.3657
51,2004-03-31,AAPL-close,0.4134
52,2004-04-30,AAPL-close,0.3941
53,2004-05-28,AAPL-close,0.429
54,2004-06-30,AAPL-close,0.4975
55,2004-07-30,AAPL-close,0.4944
56,2004-08-31,AAPL-close,0.5273
57,2004-09-30,AAPL-close,0.5924
58,2004-10-29,AAPL-close,0.8011
59,2004-11-30,AAPL-close,1.0251
60,2004-12-31,AAPL-close,0.9846
61,2005-01-31,AAPL-close,1.1757
62,2005-02-28,AAPL-close,1.3717
63,2005-03-31,AAPL-close,1.2742
64,2005-04-29,AAPL-close,1.1026
65,2005-05-31,AAPL-close,1.2157
66,2005-06-30,AAPL-close,1.1256
67,2005-07-29,AAPL-close,1.3041
68,2005-08-31,AAPL-close,1.4338
69,2005-09-30,AAPL-close,1.6393
70,2005-10-31,AAPL-close,1.761
71,2005-11-30,AAPL-close,2.0738
72,2005-12-30,AAPL-close,2.1982
73,2006-01-31,AAPL-close,2.3089
74,2006-02-28,AAPL-close,2.0942
75,2006-03-31,AAPL-close,1.9178
76,2006-04-28,AAPL-close,2.1523
77,2006-05-31,AAPL-close,1.8276
78,2006-06-30,AAPL-close,1.7512
79,2006-07-31,AAPL-close,2.078
80,2006-08-31,AAPL-close,2.0747
81,2006-09-29,AAPL-close,2.3539
82,2006-10-31,AAPL-close,2.4792
83,2006-11-30,AAPL-close,2.8027
84,2006-12-29,AAPL-close,2.5942
85,2007-01-31,AAPL-close,2.6214
86,2007-02-28,AAPL-close,2.5872
87,2007-03-30,AAPL-close,2.8409
88,2007-04-30,AAPL-close,3.0516
89,2007-05-31,AAPL-close,3.7057
90,2007-06-29,AAPL-close,3.7317
91,2007-07-31,AAPL-close,4.0289
92,2007-08-31,AAPL-close,4.2344
93,2007-09-28,AAPL-close,4.6927
94,2007-10-31,AAPL-close,5.8082
95,2007-11-30,AAPL-close,5.5718
96,2007-12-31,AAPL-close,6.0568
97,2008-01-31,AAPL-close,4.139
98,2008-02-29,AAPL-close,3.8228
99,2008-03-31,AAPL-close,4.3879
100,2008-04-30,AAPL-close,5.3189
101,2008-05-30,AAPL-close,5.7715
102,2008-06-30,AAPL-close,5.1199
103,2008-07-31,AAPL-close,4.8603
104,2008-08-29,AAPL-close,5.1838
105,2008-09-30,AAPL-close,3.4754
106,2008-10-31,AAPL-close,3.2898
107,2008-11-28,AAPL-close,2.8336
108,2008-12-31,AAPL-close,2.6098
109,2009-01-30,AAPL-close,2.7559
110,2009-02-27,AAPL-close,2.7309
111,2009-03-31,AAPL-close,3.2143
112,2009-04-30,AAPL-close,3.8476
113,2009-05-29,AAPL-close,4.1527
114,2009-06-30,AAPL-close,4.3551
115,2009-07-31,AAPL-close,4.996
116,2009-08-31,AAPL-close,5.1434
117,2009-09-30,AAPL-close,5.6675
118,2009-10-30,AAPL-close,5.7638
119,2009-11-30,AAPL-close,6.1127
120,2009-12-31,AAPL-close,6.4436
121,2010-01-29,AAPL-close,5.8728
122,2010-02-26,AAPL-close,6.2568
123,2010-03-31,AAPL-close,7.1857
124,2010-04-30,AAPL-close,7.9835
125,2010-05-28,AAPL-close,7.8547
126,2010-06-30,AAPL-close,7.6911
127,2010-07-30,AAPL-close,7.866
128,2010-08-31,AAPL-close,7.4334
129,2010-09-30,AAPL-close,8.6763
130,2010-10-29,AAPL-close,9.2032
131,2010-11-30,AAPL-close,9.5142
132,2010-12-31,AAPL-close,9.8631
133,2011-01-31,AAPL-close,10.3755
134,2011-02-28,AAPL-close,10.8003
135,2011-03-31,AAPL-close,10.6565
136,2011-04-29,AAPL-close,10.7061
137,2011-05-31,AAPL-close,10.6357
138,2011-06-30,AAPL-close,10.2639
139,2011-07-29,AAPL-close,11.9399
140,2011-08-31,AAPL-close,11.7671
141,2011-09-30,AAPL-close,11.6598
142,2011-10-31,AAPL-close,12.3771
143,2011-11-30,AAPL-close,11.6867
144,2011-12-30,AAPL-close,12.3839
145,2012-01-31,AAPL-close,13.958
146,2012-02-29,AAPL-close,16.5864
